Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Backdrop_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_TMDB;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
Sol Yanim;Mi lado izquierdo;TMDB;2020 - 2021;La serie dramática sigue la historia de una madre y su pequeña hija, Serra, mientras intentan acostumbrarse a su nueva vida en un vecindario común después de caer en desgracia.;https://image.tmdb.org/t/p/original/u9jA4fJ83pwqSkNsYajTSliukZK.jpg;https://image.tmdb.org/t/p/original/i3UxDwbnAzTmayjkOLppEKewAxg.jpg;Drama;9.1;1;12;https://www.themoviedb.org/tv/113720;T1:12;Özge Yağız (Serra), Tolga Mendi (Selim), Cemre Baysel (Biricik), Emre Bey (Burak), Defne Samyeli (Asena), Cansel Elçin (Ihsan Kutlusay);https://image.tmdb.org/t/p/w185/bvdP97oMvMmbVHgEat4LUBoIFwy.jpg, https://image.tmdb.org/t/p/w185/b6RNiN8wYUgciXihhWwJlO1N7p3.jpg, https://image.tmdb.org/t/p/w185/c6ftdtt8o8NCp5o8v7rJmmhlQ3C.jpg, https://image.tmdb.org/t/p/w185/pjTsTuQ4jVRXoisd9jHDgqrbttt.jpg, https://image.tmdb.org/t/p/w185/dXAQ5RswKgCXnm28TU7x1sIin0o.jpg, https://image.tmdb.org/t/p/w185/aAPnKmKdrhiKHJAjV4RAhvPy87S.jpg;Creador: Serdar Gözelekli;Valley of Hearts, Ambitions, Flores de Sangre (Blood Flowers), SkyMed, Bel-Air;
Sueños de Libertad;Sueños de libertad;TMDB;2024 - 2026;Begoña Montes es una mujer que vive atrapada en un matrimonio tóxico y busca la ansiada libertad en la España de 1958.;https://image.tmdb.org/t/p/original/k0uSCsavcoGviQK9rfyH2srRjhZ.jpg;https://image.tmdb.org/t/p/original/qwoFxyMtArLpZZzG3mmRDEjGgCM.jpg;Drama, Telenovela;6.1;3;582;https://www.themoviedb.org/tv/239526;T1:280|T2:208|T3:134;Natalia Sánchez (Begoña Montes), Dani Tatay (Andrés de la Reina), Nancho Novo (Damián de la Reina), Marta Belmonte (Marta de la Reina), Ana Fernández (Digna Vázquez), Carolina Lapausa (Luz Borrell);https://image.tmdb.org/t/p/w185/69b7ScOptnGGuWZaNtQL41KVlMj.jpg, https://image.tmdb.org/t/p/w185/eOtFT3Qcu7iNbYeBxdvdlxvlfwA.jpg, https://image.tmdb.org/t/p/w185/76tMiuvM2GHCJ429J8O3BcfMVKP.jpg, https://image.tmdb.org/t/p/w185/dQoWTN2xoXpbY8eAtq1y6XTqFhf.jpg, https://image.tmdb.org/t/p/w185/cNCXc2XUsdp83VngdxSqxgUiVTy.jpg, https://image.tmdb.org/t/p/w185/n9jjafqF3m15YlSqyf1EbTaNL41.jpg;Creador: Beatriz Duque, Verónica Viñé;Valle salvaje, Doménica Montero, Tyler Perry's The Haves and the Have Nots, Arelys Henao, Knots Landing;
Te Alquilo Mi Amor;Te Alquilo Mi Amor;TMDB;2015 - 2017;Defne, una chica pobre que vive con su abuela, hermano y hermana está enredado en un acuerdo para hacer el famoso hombre de negocios, caída Omer enamorado de ella y casarse con ella antes de que sea demasiado tarde. Defne se ve obligado a hacerlo debido a los obstáculos de la vida y con sus diferencias, tendrá que ser capaz de hacer caer Omer enamorado de ella?;https://image.tmdb.org/t/p/original/qrjBau8YQ1xsS7Rire5eJGUNy2g.jpg;https://image.tmdb.org/t/p/original/7l7K63FeW6iUTJZPa6ips71OWDn.jpg;Comedia;7.4;2;69;https://www.themoviedb.org/tv/63549;T1:52|T2:17;Elçin Sangu (Defne Topal), Barış Arduç (Ömer İplikçi), Salih Bademci (Sinan Karakaya), Nergis Kumbasar (Neriman İplikçi), Levent Ülgen (Necmi İplikçi), Kerem Fırtına (İsmail);https://image.tmdb.org/t/p/w185/5jGVTT2ykGro046rvKP75y7Mnyi.jpg, https://image.tmdb.org/t/p/w185/dmBfLOO1Rp1zakhi8iVUzKQp84.jpg, https://image.tmdb.org/t/p/w185/4ScTjg1DLmfd1rW423OmJE7ns9G.jpg, https://image.tmdb.org/t/p/w185/fyGLBqOBMzGhYkRZPkYD1yUuTGv.jpg, https://image.tmdb.org/t/p/w185/lNOELcWVaUNSg2FOuVpsRdNwCBY.jpg, https://image.tmdb.org/t/p/w185/nDWYjqthz5WQ92klYqy6V4hlQmG.jpg;Creador: Melda Perahya Yalçın, Müge Turalı Pak, Mehmetcan Yüksel | Director: Şenol Sönmez, Metin Balekoğlu;En todas partes, tú, De la A a la Z, Clásicos modernos, Colin de cuentas, Superdotado;https://www.youtube.com/watch?v=wYsWBmpOwKI
Te Voy a Enseñar a Querer;Te voy a enseñar a querer;TMDB;2004 - 2007;La familia Méndez posee una hacienda ganadera, donde cría caballos y toros de Lydia, además de una constructora. La familia está integrada por Alejandro Méndez e Isabel Garrido, con sus hijos Pablo y Helena. Félix Garrido, padre de Isabel, también vive con ellos. La familia Méndez es muy respetada y querida en la región, aunque tiene un enemigo declarado: Milciades Contreras, un acaudalado ganadero, que además es su vecino más cercano. El motivo de la enemistad con Milciades radica en que siempre estuvo enamorado de Isabel, quien lo rechazó y prefirió a Alejandro. Desde entonces, Milciades se ha dedicado a cometer todo tipo de ultrajes contra la gente y también contra los Méndez, quienes se han mantenido al margen para promover la paz.;https://image.tmdb.org/t/p/original/xdPsYnVa9vb4qsCuNARqaX3KOUt.jpg;;Telenovela, Drama;6.6;1;129;https://www.themoviedb.org/tv/107072;T1:129;Sharmel Altamirano (Elena Méndez), Jaime Rayo (Inspector Cataño 2), Natalia Giraldo (Tulia Ángeles Vivas), Danna García (Diana Rivera), Martín Karpan (Luís Carlos Carmona), Melvín Cabrera (Salvador 'Chava' Cascante);, , , https://image.tmdb.org/t/p/w185/9fxIwr5v3Uy6iv4brRgVx85ciT.jpg, https://image.tmdb.org/t/p/w185/9owkAViU0MItoUhHse7wh8PjGJZ.jpg, ;;La Sombra del Pasado, Mi pecado, Hasta que la plata nos separe, Por amar sin ley, Alma Rebelde;
Tierra de Esperanza;Tierra de Esperanza;TMDB;2023 - 2023;Cuando su padre es detenido por estafa, María Teresa ( Carolina Miranda ), una empresaria, debe intervenir y hacerse cargo del rancho que le dejó su madre, donde conoce a Santos ( Andrés Palacios ), el capataz del rancho con quien constantemente discrepar.;https://image.tmdb.org/t/p/original/bUfbmaeHoWeqXC6rL8bSFwPfoNJ.jpg;https://image.tmdb.org/t/p/original/mxzjNi5bshxV77huxdPZyyvvEBi.jpg;Telenovela, Drama;7.76;1;65;https://www.themoviedb.org/tv/228459;T1:65;Carolina Miranda (María Teresa Arteaga), Andrés Palacios (Santos Sandoval), Sofía Castro (Valentina Rangel), Luis Roberto Guzmán (Marco Rivas), Mariana Seoane (Bernarda Rangel), Sergio Goyri (Rutilio Ferrer);https://image.tmdb.org/t/p/w185/4lJzUpFW37ZcVuQfqKPdQ2djImP.jpg, , https://image.tmdb.org/t/p/w185/y1FazthOveyyW9hK1k6lehGMQJu.jpg, https://image.tmdb.org/t/p/w185/hNxC4CtRQTR69qvZEzUPO84d7UC.jpg, https://image.tmdb.org/t/p/w185/y5WnhMfMFYSKpAwiI5KQIYsDeqb.jpg, https://image.tmdb.org/t/p/w185/x7TXmva21eXLrzjWWYbdFET8HGb.jpg;Creador: Humberto 'Kiko' Olivieri;Doménica Montero, Hasta que la plata nos separe, Tyler Perry's The Haves and the Have Nots, El amor invencible, Knots Landing;
Tierra De Reyes;Tierra de Reyes;TMDB;2014 - 2015;Cuando los hermanos Gallardo, Arturo, Flavio  y Samuel, se enteran de que su hermana menor Alma  mantiene una relación con Ignacio del Junco , un hombre mucho mayor que ella, intentan separarlos a toda costa, sin embargo todo acaba abruptamente cuando Ignacio muere en extrañas circunstancias. Alma, desesperada ya que espera un hijo suyo, se dirige hacia el velorio del hombre que ama y es ahí cuando se entera de que éste no estaba separado, como le había hecho creer, sino que sigue casado con Cayetana Belmonte , una mujer altanera, poderosa y avasallante, quien la humilla en frente de sus hijas, Sofía , la hermosa veterinaria del rancho de su familia, Irina , una alocada y divertida joven, y Andrea, seria y distinguida como su madre, de su inescrupuloso yerno Leonardo Montalvo, su anciano padre don Felipe y el personal de servicio.;https://image.tmdb.org/t/p/original/cwBNC3e86zvWrznlqrImsv1MJdB.jpg;https://image.tmdb.org/t/p/original/l9fMvldLIW8Kjuo9uuJ5eDybXJG.jpg;Drama;7.846;1;160;https://www.themoviedb.org/tv/70176;T1:160;Ana Lorena Sanchez (Sofia del Junco), Christian de la Campa (Samuel Rey Gallardo), Scarlet Gruber (Andrea del Junco), Aarón Díaz (Arturo Rey Gallardo), Gonzalo García Vivanco (Flavio Rey Gallardo), Kimberly Dos Ramos (Irina del Junco);https://image.tmdb.org/t/p/w185/dzqbMMRbvXwUajU06z4nvJaUPbb.jpg, https://image.tmdb.org/t/p/w185/6JYd5nNsPFWA3IxVVSC7NW1n4Yw.jpg, https://image.tmdb.org/t/p/w185/wYK2WJpkkJlPspF99UIv1hfMRyp.jpg, https://image.tmdb.org/t/p/w185/4ayqBPw1xsne9s7h2OBJXWoIUeO.jpg, https://image.tmdb.org/t/p/w185/k1mFwxAzsizlZJ4iSc7Q8gQbao4.jpg, https://image.tmdb.org/t/p/w185/4jXZ7QubP2CWcMyuJ6GYDtAILyS.jpg;;Muchachitas como tú, Rosario Tijeras, Señora Acero, Enemigo íntimo, Sin senos sí hay paraíso;
Travessia;Travesia;TMDB;2022 - 2023;Tras ver su vida trastocada por una imagen falsa y perder a su amor de la infancia a causa de la codicia y el poder, Brisa, una mujer fuerte, luchará por reconstruir su vida, criar a su hijo, redescubrir el verdadero amor y descubrir la verdad sobre sus orígenes.jpg;https://image.tmdb.org/t/p/original/xGKTgJlqCkq6tAK2sOTdULh7YaX.jpg;Soap, Drama, Comedia;4.1;1;179;https://www.themoviedb.org/tv/204370;;T1:179;Lucy Alves (Brisa Ribeiro), Rômulo Estrela (Oto Rivabianchi), Chay Suede (Ariovaldo Fernandes (Ari)), Humberto Martins (Jorge Luiz Guerra), Rodrigo Lombardi (André Moretti), Drica Moraes (Núbia Fernandes);https://image.tmdb.org/t/p/w185/xgfUBNmc7XGxCoDrV7eKepjqkhO.jpg, https://image.tmdb.org/t/p/w185/2DJbEfF7fNUhSnfqu7Pdj9vFxS2.jpg, https://image.tmdb.org/t/p/w185/txVt6TP2zffG3BfqUIcUF48cQ8u.jpg, https://image.tmdb.org/t/p/w185/62sBzFEedHlbWUXO4i0wLk6FpyW.jpg, https://image.tmdb.org/t/p/w185/tYqrJJy2QslTPvwvRdzxupJk1Z7.jpg, https://image.tmdb.org/t/p/w185/qQO47cN3esrDZn1eXWmzzG08CRI.jpg;Creador: Glória Perez | Director: Mauro Mendonça Filho, Walter Carvalho;Vecinos, India, una historia de amor, Cuckoo, The Young and the Restless, No con mis hijas;
Tu Vida es Mi Vida;Tu vida es mi vida;TMDB;2024 - 2024;Paula abandona su trabajo como empresaria para pasar el mayor tiempo posible con sus tres hijos luego de enterarse de que padece una grave enfermedad y su vida corre peligro.;https://image.tmdb.org/t/p/original/k58tPG0q3h2umXDQWQ5m4kw03eR.jpg;https://image.tmdb.org/t/p/original/7Ct0Dkea1UQczjO628ONNiRGMqp.jpg;Familia, Telenovela, Drama;8.5;1;95;https://www.themoviedb.org/tv/243745;T1:95;Valentino Lanús, Susana González, Juan Soler, Pedro Moreno, Margarita Magaña, Laura Flores;https://image.tmdb.org/t/p/w185/ngx4PQw1xodEFeKPnN8GDS2xubc.jpg, https://image.tmdb.org/t/p/w185/aacyaU874aKZiPllq7neljNiEeb.jpg, https://image.tmdb.org/t/p/w185/1GsbilAFEPon8erTCywiFutFjrB.jpg, https://image.tmdb.org/t/p/w185/aVtc3LeskczNOvcdEH7ZUDyQmSp.jpg, , https://image.tmdb.org/t/p/w185/rJqyCEBqB4ua2SjQ7PlDvzjlsby.jpg;Creador: Juan Carlos Alcalá;Toda una dama, El ángel de Aurora, La Herencia, La Sombra del Pasado, Mi pecado;
Tuzak;Tuzak;TMDB;2022 - 2023;Tuzak narra la historia de tres hermanos, Mahir, Umut y Umay, a quienes les arrebataron la vida. ¿Quién es malo, quién es sincero, quién es falso? En un mundo tan confuso, los tres hermanos, Umut, Mahir y Umay, unidos por un propósito común, descubren que su vínculo no es el que creían tener. Por otro lado, Güneş, Güven y Mete son hermanos que creían que la aprobación de su padre y una vida cómoda eran más importantes que ellos mismos. Umut, en su afán de vengarse de la familia que odia, se enfrenta a su mayor conflicto por culpa de Güneş, la chica a quien considera el amor de su vida. Güneş desconoce la verdadera identidad y las intenciones de Umut, a quien conoce como el corrupto abogado Çınar Yılmaz. Confiará el futuro de su familia y el suyo propio a este hombre del que se enamora...;https://image.tmdb.org/t/p/original/IHX7A7tMc2hAET8Oy7DRdglfOz.jpg;https://image.tmdb.org/t/p/original/83Ugvwor1tmi0e25VcJz10jTQOq.jpg;Drama;8.727;1;26;https://www.themoviedb.org/tv/212799;T1:26;Akın Akınözü (Umut / Çınar Yılmaz), Bensu Soral (Ceren Gümüşay), Talat Bulut (Demir Gümüşay), Rıza Kocaoğlu (Güven Gümüşay), Yağız Can Konyalı (Mete Gümüşay), Gamze Süner Atay (Rahşan);https://image.tmdb.org/t/p/w185/sCLpX3ozets9eMqOSMQylQGexRE.jpg, https://image.tmdb.org/t/p/w185/ti3PfqOgXmbJIQtwQl1yH5i1WnU.jpg, https://image.tmdb.org/t/p/w185/4gabXXZx7AAJC9YL3Yem60Ztg0Y.jpg, https://image.tmdb.org/t/p/w185/b0Bp9W1VIaVzCzzUCMwBc7fe005.jpg, https://image.tmdb.org/t/p/w185/5U5XvZFSnohaPZPC1P91fb8cKtr.jpg, https://image.tmdb.org/t/p/w185/9LmCgCHiqCYv84BL3zihMYTmwzp.jpg;Director: Aytaç Çiçek;Mi otra yo, Amor eterno, Amor Imposible, Wounded Birds, Arafta;
Velo de novia;Velo de novia;TMDB;2003 - 2004;Velo de Novia es una telenovela mexicana producida por Juan Osorio Ortiz para Televisa en 2003. Está protagonizada por Susana González y Eduardo Santamarina.;https://image.tmdb.org/t/p/original/xpCHVdEEfQI4hAEeBsMP9e9wJOt.jpg;https://image.tmdb.org/t/p/original/nyR3F2feRsZLwg1g0LBfSa6dYrX.jpg;Drama;9.0;1;135;https://www.themoviedb.org/tv/32002;T1:135;Susana González (Andrea Paz González), Eduardo Santamarina (José Manuel del Álamo Sánchez), Cynthia Klitbo (Raquela Villaseñor del Moral), Héctor Suárez (Azael Villaseñor), MARLENE FAVELA (Ángeles Villaseñor del Moral), Blanca Guerra (Ricarda Sánchez de del Álamo);https://image.tmdb.org/t/p/w185/aacyaU874aKZiPllq7neljNiEeb.jpg, https://image.tmdb.org/t/p/w185/5kSFZtkLVMTFgM4X9gbhclfyDJE.jpg, https://image.tmdb.org/t/p/w185/6sMHQR2igGkpVSyDQIDq7bdddjR.jpg, https://image.tmdb.org/t/p/w185/eKn2KhEiixyxJfc6Fv7n1MEaP3z.jpg, https://image.tmdb.org/t/p/w185/3s0BKUN15xTnDKmU98FgMU6Nczr.jpg, https://image.tmdb.org/t/p/w185/gKW1LRZMHoRorLhFBAAhwvzxtFF.jpg;Creador: María Antonieta Gutiérrez | Director: Sergio Cataño, Sergio Jimenez;Marimar, Mujer de Madera, Te Sigo Amando, Atrévete a Soñar, Piel de otoño;
Violeta como el Mar;Violeta como el mar;TMDB;2022 - 2024;Violeta regresa a Palermo en búsqueda del paradero de su padre. Allí, como periodista, empieza a cubrir información sobre crímenes colaborando con el inspector Francesco Demir.;https://image.tmdb.org/t/p/original/ityM3jloJHwQh8jQivDKlNBgPAF.jpg;https://image.tmdb.org/t/p/original/kLiwgVtM1Vg9R5aftu23zyITvCo.jpg;Crimen, Drama, Misterio;7.618;2;24;https://www.themoviedb.org/tv/208878;T1:12|T2:12;Francesca Chillemi (Viola Vitale), Can Yaman (Francesco Demir), Ninni Bruschetta (Leonardo Piazza), Giovanni Scifoni (Matteo Ferrara), Giovanni Nasta (Turi D'Agata), Chiara Tron (Tamara Graziosi);https://image.tmdb.org/t/p/w185/kQ3DBqxDDC1GVIeOzIzq7I7cj6D.jpg, https://image.tmdb.org/t/p/w185/qjDCqpngema0dqF1DDEbOKrXC1Z.jpg, https://image.tmdb.org/t/p/w185/1GBSY3pCvaSUtHguV8AmTxLYD4K.jpg, https://image.tmdb.org/t/p/w185/xF1VVGkAnKJeQp8mL1z3VgW1BvL.jpg, https://image.tmdb.org/t/p/w185/5Lls8d5aHxQ3t92PxJXJp2iKLFq.jpg, https://image.tmdb.org/t/p/w185/2lDhYZadIh5xWWXCx4J87T3E52L.jpg;Creador: Francesco Vicario, Francesco Arlanch, Elena Bucaccio, Silvia Leuzzi;Baretta, Barnaby Jones, Jack Irish, Canción triste de Hill Street, Mosaic;
Vivir de amor;Vivir de amor;TMDB;2024 - 2024;Hace 20 años, la familia de Elena se desmorona cuando su hija Frida le es arrebatada y la dan por muerta, quedando sola con Rebeca, su hija pequeña. Alma y Antonio lloran la muerte de su hija, pero justo después de sepultarla, ¡se encuentran a Frida y la hacen pasar por su hija Rebeca! Rebeca vive durante 20 años una vida humilde que no le corresponde, hasta que descubre su verdadero origen y decide vengarse al saber que su hermana Angelli ha vivido una vida llena de todos los lujos de los que ella careció y que, además, está comprometida con José Emilio.;https://image.tmdb.org/t/p/original/5I0koi3lvHtGDhYvfAkLssQKEGO.jpg;https://image.tmdb.org/t/p/original/zwXvUwXgOHbBJmZSFLmBfAwHDE6.jpg;Drama;7.437;1;130;https://www.themoviedb.org/tv/243487;T1:130;Emmanuel Palomares (José Emilio Rivero Cuéllar), Gala Montes (Rebeca Ramírez), Juan Diego Covarrubias (Luciano Garza), Josh Gutiérrez (Misael Rivero Cuéllar), Eugenia Cauduro (Cristina Rivero Cuéllar), René Strickler (Adolfo Pastrana);, https://image.tmdb.org/t/p/w185/fyhrI3BZxLHeoxexlaZSygopknh.jpg, , https://image.tmdb.org/t/p/w185/yVLKdvDar8t3O55gBIH1wbylGxu.jpg, https://image.tmdb.org/t/p/w185/9UZpuQwDcDyTA9ozHnM1K8nbWjD.jpg, https://image.tmdb.org/t/p/w185/6kruVvKtAS0884gL30guMp4GyCs.jpg;Creador: Katia Rodríguez Estrada, Doménica Tarello;Jenni Rivera: Mariposa de Barrio, Descubriendo a Nina, Doña bella, Ambitions, Pasión de gavilanes;
Vuelve a mí;Vuelve a mí;TMDB;2023 - 2024;Nuria, una mujer de escasos recursos, emprende una corta relación con Braulio sin saber que es uno de los dueños de la empresa donde trabaja para poder mantener a su hijo y hermana. Las vidas de los personajes principales se empiezan a entrelazar tras el trágico secuestro de Andrés, el hijo de Nuria. En este drama lleno de vínculos amorosos, el amor incondicional de una madre por su hijo se convertirá en el hilo conductor de la historia.;https://image.tmdb.org/t/p/original/evKsJmlC4fRhARcnVbngygV40sE.jpg;https://image.tmdb.org/t/p/original/5GXW5SRUO8oWLOAaOhK1nxiCZEV.jpg;Telenovela, Drama;8.188;1;92;https://www.themoviedb.org/tv/236921;T1:92;Samadhi Zendejas (Nuria Garcia), William Levy (Santiago), Kimberly Dos Ramos (Liana Corrales), Rodolfo Salas (Fausto Meléndez), Laura Flores (Martha Guevara), Fernando Ciangherotti (Roberto Zepeda);, https://image.tmdb.org/t/p/w185/dqFP6DYo2tJhFpQ4dopdrltjNcd.jpg, https://image.tmdb.org/t/p/w185/4jXZ7QubP2CWcMyuJ6GYDtAILyS.jpg, https://image.tmdb.org/t/p/w185/qVj91pVo8hM6jFiL9RrxoMWliux.jpg, https://image.tmdb.org/t/p/w185/rJqyCEBqB4ua2SjQ7PlDvzjlsby.jpg, https://image.tmdb.org/t/p/w185/4MGu9rW8EtfZbfUCI4r05noHaup.jpg;Creador: Sergio Mendoza;The Young and the Restless, Hotel, La pareja de al lado, Sullivan's Crossing, Chicago Hope;
Zemheri;Invierno;TMDB;2020 - 2020;Firuze y Ayaz son dos estudiantes que se enamoran. Atrapados entre el amor y el destino, no son libres de elegir lo que quieren. Primero, Ayaz desaparece, luego el padre de Firuze es incriminado y sentenciado por un crimen. Para estar juntos, Firuze y Ayaz tendrían que entregar a sus familias, a menos que puedan vencer las fuerzas que los mantienen separados.;https://image.tmdb.org/t/p/original/koZdwkUOQy8JsuGcrUdtQZAhakS.jpg;https://image.tmdb.org/t/p/original/eVo7j9XEV6ObPdS9sm7o5QmvApZ.jpg;Drama;7.4;1;10;https://www.themoviedb.org/tv/97296;T1:10;Alperen Duymaz (Ayaz), Ayça Ayşin Turan (Firuze), Caner Cindoruk (Ertan), Hazal Filiz Küçükköse (Berrak), Şebnem Dönmez (Mehveş), Zerrin Tekindor (Aliye);https://image.tmdb.org/t/p/w185/ipjCVnBGIA7vPOmo5kKP8P71Lzf.jpg, https://image.tmdb.org/t/p/w185/2ilINzaNM61FLCh0pGhYoyySJEQ.jpg, https://image.tmdb.org/t/p/w185/nZ2BkGLDGBReXXRzN8xf2wc9dQa.jpg, https://image.tmdb.org/t/p/w185/fAT3PE0xE9CunXY6GqoIGkBN5ij.jpg, https://image.tmdb.org/t/p/w185/xsXjHqbvB5zaxtEzOnquhnw6W2d.jpg, https://image.tmdb.org/t/p/w185/mWRvssoXW6GCsyqEubYEn5l1U3s.jpg;Creador: Hilal Saral | Director: Hilal Saral;Mi hija, Amor eterno, Wounded Birds, El Museo de la Inocencia, Hercai;
Zorro la Espada y la Rosa;Zorro: La espada y la rosa;TMDB;2007 - 2007;"El Zorro (Diego de la Vega) se enamora de la joven y bella viuda Esmeralda Sánchez de Moncada. Esta llega a California con su hermana Mariángel y su padre, Fernando, el recién nombrado gobernador de Los Ángeles. El héroe debe enfrentarse a una horda de villanos, utilizando como sello distintintivo su famosa ""Z"". La historia trata también sobre la madre perdida de Esmeralda y del hombre cuyas intrigas atroces cambiarán la vida de Diego para siempre. La resolución amenaza con agitar todo el Imperio Español.";https://image.tmdb.org/t/p/original/v6XZeLzt6mKJsUMc5S59Td0mt3g.jpg;https://image.tmdb.org/t/p/original/s5dDwDcyV4T764vjHW08gR18Xzu.jpg;Western, Drama, Telenovela;7.333;1;122;https://www.themoviedb.org/tv/5144;T1:122;Christian Meier (Diego de la Vega / El Zorro), Osvaldo Ríos (Alejandro de la Vega), Natasha Klauss (Sor Ana Camila Suplicios), MARLENE FAVELA (Esmeralda Sánchez de Moncada), Andrea Montenegro (María Pía de la Vega), Arturo Peniche (Fernando Sánchez de Moncada);https://image.tmdb.org/t/p/w185/Aez99BPhe7e63RuOtWGiojrV3rm.jpg, , https://image.tmdb.org/t/p/w185/gdhHVVDdOUK9RgmWrckbUGK9SOg.jpg, https://image.tmdb.org/t/p/w185/3s0BKUN15xTnDKmU98FgMU6Nczr.jpg, https://image.tmdb.org/t/p/w185/9nPOBpKebsn6yXUCvX8dqzCr3iK.jpg, https://image.tmdb.org/t/p/w185/doxAMkE7Mxaz15oIyTOrxQmWLox.jpg;Creador: Johnston McCulley;La hija del Mariachi, Teresa, Marimar, Amor Bravío, Mujer de Madera;https://www.youtube.com/watch?v=wbhMegcrYrM
Ciudad Cruel;Ciudad cruel;TMDB;2019 - 2020;La vida de un chico discapacitado cambia drásticamente después de que una familia de un pequeño pueblo llega a Estambul. ¿Cómo se comportará Seher después de enterarse de que su suegra está de acuerdo con Agah Karacay? ¿Qué hará Ceren cuando se entere de que se supone que debe casarse con Nedim discapacitado en lugar de Cenk? ¿Conseguirá Cemre salvar la vida de Nedim con su cuidado y tratamiento? ¿Se las arreglará Seniz para guardar sus secretos? ¿Ceren eventualmente cumplirá sus sueños de hacerse rica? ¿Cenk finalmente encontrará un amor verdadero? ¿Cómo cambiará la vida de la familia Karacay después de la llegada de Seher y sus hijos? ¿Nedim volverá a estar sano?;https://image.tmdb.org/t/p/original/5gMWaPWsVkgDtCnlYi98GqaKBE8.jpg;https://image.tmdb.org/t/p/original/zLHTXSMaUDyjImp5tnfPzNN8aTj.jpg;Drama, Familia;7.6;2;39;https://www.themoviedb.org/tv/88024;T1:9|T2:30;Fikret Kuşkan (Agah Karaçay), Deniz Uğur (Seher Yılmaz), Mine Tugay (Şeniz Karaçay), Ozan Dolunay (Cenk Karaçay), Sera Kutlubey (Cemre Yılmaz), Berker Güven (Nedim Karaçay);https://image.tmdb.org/t/p/w185/iqbv4qWrGDCZWwtzxRLWqI7FuLo.jpg, https://image.tmdb.org/t/p/w185/xEQprWV0AXiK5zTxfkTUmWbUrv4.jpg, https://image.tmdb.org/t/p/w185/yiCdTI7SqpR2tft001V1C5r37FR.jpg, https://image.tmdb.org/t/p/w185/vLXxGS3DOlK5C8nbAPVndWurnmu.jpg, https://image.tmdb.org/t/p/w185/iEJmK2REqKI2YyH8LF8YX8gErAK.jpg, https://image.tmdb.org/t/p/w185/7oROmKqz1Wr5JaYll5NcPzPztfX.jpg;Creador: Cevdet Mercan, Sırma Yanık | Director: Cevdet Mercan;Una nueva vida, Tierra Amarga, Chicken Girls, Madre, Mi hija;https://www.youtube.com/watch?v=NipxHOt5CeE
Con Olor a Fresas;Con Olor a Fresas;TMDB;2015 - 2015;Asli es una joven que trabaja en una pastelería y hace tartas deliciosas. Para el cumpleaños de un cliente, hace una tarta de fresas y en el envío, tiene un accidente de coche en el cual la tarta se echa a perder. La persona conduciendo el otro coche implicado en el accidente es Burak, un mujeriego procedente de una familia rica. En este encuentro, acaban discutiendo sin querer verse nunca más.  La pastelera es despedida por no haber entregado el pedido, quedando desesperada por encontrar un trabajo. Su amiga Gonca, que también trabaja en la pastelería, se muda a Bodrum con una oferta de trabajo en un gran hotel, convenciendo a Asli de que haga lo mismo para poder ganar dinero. Cuando llegan al hotel, descubren que está cerrado y buscan un nuevo trabajo en otro hotel perteneciente a Burak, cruzando sus caminos otra vez.;https://image.tmdb.org/t/p/original/7QuacCcH6w07iOQPCh3Sqz5rldo.jpg;https://image.tmdb.org/t/p/original/IJCSUObPR9wrJCzqFXSZwzPLCI.jpg;Comedia;7.8;1;23;https://www.themoviedb.org/tv/69322;T1:23;Demet Özdemir (Aslı), Yusuf Çim (Burak), Ekin Mert Daymaz (Volkan), Mine Tugay (Elçin), Mahir Günşiray (Nihat), Gözde Kaya (Çagla);https://image.tmdb.org/t/p/w185/nmy5ksmwyrdCLRaXb9DYA0pDEbh.jpg, https://image.tmdb.org/t/p/w185/dnJydzlc3sMffplKIZ8l3irnjDB.jpg, https://image.tmdb.org/t/p/w185/hcDkuSJAwsypq47dvCkc9QzNZ9N.jpg, https://image.tmdb.org/t/p/w185/yiCdTI7SqpR2tft001V1C5r37FR.jpg, https://image.tmdb.org/t/p/w185/giW4DaPoU0LllRYyemu5DQJfbkh.jpg, https://image.tmdb.org/t/p/w185/al5OX5Y8uK0BZuYegO12mbp4AOF.jpg;Creador: Filiz Gülmez Pakman | Director: Filiz Gülmez Pakman;Alexa & Katie, ¿Quién es el jefe?, Game Shakers, Coach, Amar es primavera;
